Name,System,Neurotransmitter,ConfidenceInNeuroTransmitter,Type_Main,Type_Class,Type_Full
AVM,Somatic,Glutamate,1,Sensory Neuron,Single,Sensory neuron (Mechanosensory)
AWAL,Somatic,-,0.2,Sensory Neuron,Single,Sensory neuron (Odorsensory)
AWAR,Somatic,-,0.2,Sensory Neuron,Single,Sensory neuron (Odorsensory)
AWBL,Somatic,Glutamate,0.3,Sensory Neuron,Single,Sensory neuron (Odorsensory)
AWBR,Somatic,Glutamate,0.3,Sensory Neuron,Single,Sensory neuron (Odorsensory)
AWCL,Somatic,Glutamate,0.5,Sensory Neuron,Multiple,Sensory neuron (Odorsensory and thermosensory)
AWCR,Somatic,Glutamate,0.5,Sensory Neuron,Multiple,Sensory neuron (Odorsensory and thermosensory)
BAGL,Somatic,Glutamate,0.7,Sensory Neuron,Single,Sensory neuron
BAGR,Somatic,Glutamate,0.7,Sensory Neuron,Single,Sensory neuron
BDUL,Somatic,GABA,0.3,Interneuron,Single,Interneuron
BDUR,Somatic,GABA,0.3,Interneuron,Single,Interneuron
CEPDL,Somatic,Dopamine,1,Sensory Neuron,Single,Sensory neuron (Putative Mechanosensory)
CEPDR,Somatic,Dopamine,1,Sensory Neuron,Single,Sensory neuron (Putative Mechanosensory)
CEPVL,Somatic,Dopamine,1,Sensory Neuron,Single,Sensory neuron (Putative Mechanosensory)
CEPVR,Somatic,Dopamine,1,Sensory Neuron,Single,Sensory neuron (Putative Mechanosensory)
DA1,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
DA2,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
DA3,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
DA4,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
DA5,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
DA6,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
DA7,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
DA8,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
DA9,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
DB1,Somatic,Acetylcholine,1,Motor Neuron,Single,Ventral cord motor neuron
DB2,Somatic,Acetylcholine,1,Motor Neuron,Single,Ventral cord motor neuron
DB3,Somatic,Acetylcholine,1,Motor Neuron,Single,Ventral cord motor neuron
DB4,Somatic,Acetylcholine,1,Motor Neuron,Single,Ventral cord motor neuron
DB5,Somatic,Acetylcholine,1,Motor Neuron,Single,Ventral cord motor neuron
